iso,countryname,year,rGDP,nGDP,deflator,govdebt_GDP,govdef,cbrate,CA_GDP,USDfx
AUT,Austria,1984,52116.6015625,98497.0546875,1.8899362087249756,46.40478515625,-3043.710205078125,6.5,0.2526620030403137,1.454043984413147
AUT,Austria,1985,56375.94140625,103949.5703125,1.8438640832901,48.30724334716797,-3358.9033203125,4.75,0.4349684417247772,1.5013819932937622
AUT,Austria,1986,60741.7734375,109480,1.8023840188980103,52.59727096557617,-4747.1962890625,4.75,0.77748703956604,1.108775019645691
AUT,Austria,1987,63922.390625,113670.0078125,1.7782502174377441,56.41792297363281,-5650.5771484375,3.630000114440918,0.2887774407863617,0.9187110066413879
AUT,Austria,1988,69246.84375,119209.2109375,1.7215111255645752,57.634517669677734,-4397.18701171875,4.75,0.3597680926322937,0.8982440233230591
AUT,Austria,1989,76950.53125,127514.609375,1.6570985317230225,56.904273986816406,-4213.2646484375,7.25,0.7932873368263245,0.9621580243110657
AUT,Austria,1990,86297.0859375,137047.1875,1.5880858898162842,56.49688720703125,-3746.198974609375,8,1.4599508047103882,0.8262050151824951
AUT,Austria,1991,95702.2265625,146926.703125,1.5352485179901123,56.70263671875,-4650.28759765625,9.25,0.7155513167381287,0.8495389819145203
AUT,Austria,1992,103221.7109375,155221.390625,1.5037668943405151,56.59383773803711,-3367.340576171875,8.5,-0.5711506605148315,0.7977219820022583
AUT,Austria,1993,107188.109375,160341.234375,1.4958864450454712,61.245201110839844,-7542.52587890625,5.599999904632568,-0.9356843829154968,0.8461570143699646
AUT,Austria,1994,115237.5625,168338.59375,1.4607962369918823,64.37596893310547,-8791.0166015625,4.699999809265137,-1.1225576400756836,0.8288800120353699
AUT,Austria,1995,123671.9609375,175964.828125,1.4228352308273315,68.58348083496094,-10909.8193359375,3.75,-3.5560169219970703,0.7330600023269653
AUT,Austria,1996,130167.2265625,181406.28125,1.393640160560608,68.632415771484375,-8344.6884765625,3,-3.541135549545288,0.7691069841384888
AUT,Austria,1997,137738.359375,187763.96875,1.3631930351257324,63.903934478759766,-4881.86279296875,3.200000047683716,-2.9952456951141357,0.8869739770889282
AUT,Austria,1998,148096.265625,195166.25,1.317833662033081,64.3454360961914,-5464.65478515625,3,-1.9913018941879272,0.8992660045623779
AUT,Austria,1999,159516.765625,202799.953125,1.2713394165039063,67.080078125,-5272.798828125,1.75,-2.0214195251464844,0.9395769834518433
AUT,Austria,2000,172956.546875,212611.515625,1.2292770147323608,66.637786865234375,-5102.6767578125,3.25,-0.880100429058075,1.0858980417251587
AUT,Austria,2001,180901.140625,219557.15625,1.2136858701705933,67.238128662109375,-1536.9000244140625,3.0625,-0.9821973443031311,1.117514967918396
AUT,Austria,2002,188303.25,225215.3125,1.1960245370864868,67.44031524658203,-3153.014404296875,2.125,3.229811429977417,1.0609450340270996
AUT,Austria,2003,194967.453125,230631.3125,1.182922124862671,66.41175079345703,-4151.36328125,1.125,2.0232207775115967,0.8857560157775879
AUT,Austria,2004,208099.046875,240256.09375,1.1545275449752808,65.91193389892578,-11772.548828125,1,2.638770818710327,0.80485600233078
AUT,Austria,2005,223838.40625,252313.484375,1.127212643623352,69.42757415771484,-6560.150390625,1.0625,2.5641889572143555,0.8051109910011292
